date,new_cases,total_cases,active_cases,new_deaths,total_deaths,new_recovering,total_recovering,intubeted_cases,intesive_care_cases,new_test ,total _test
28 Mayıs 2020,1182,160979,32149,30,4461,1576,124369,339,683,33559,1928209
29 Mayıs 2020,1141,162120,31668,28,4489,1594,125963,324,662,36155,1964364
30 Mayıs 2020,983,163103,31604,26,4515,1021,126984,308,649,39230,2003594
31 Mayıs 2020,839,163942,31429,25,4540,989,127973,287,648,35600,2039194
1 Haziran 2020,827,164769,31259,23,4563,974,128947,283,651,31525,2070719
2 Haziran 2020,786,165555,31049,22,4585,974,129921,271,633,32325,2103044
3 Haziran 2020,867,166422,30961,24,4609,931,130852,261,612,52305,2155349
4 Haziran 2020,988,167410,31002,21,4630,926,131778,265,602,54234,2209583
5 Haziran 2020,930,168340,30292,18,4648,1622,133400,269,592,57829,2267412
6 Haziran 2020,878,169218,29227,21,4669,1922,135322,264,591,35846,2303258
7 Haziran 2020,914,170132,27471,23,4692,2647,137969,274,613,35335,2338593
8 Haziran 2020,989,171121,25030,19,4711,3411,141380,261,625,39361,2377954
9 Haziran 2020,993,172114,22787,18,4729,3218,144598,281,642,37225,2415179
10 Haziran 2020,922,173036,21450,17,4747,2241,146839,280,631,36521,2451700
11 Haziran 2020,987,174023,21400,17,4763,1021,147860,266,643,49190,2500890
12 Haziran 2020,1195,175218,21338,15,4778,1242,149102,282,664,41013,2541903
13 Haziran 2020,1459,176677,21798,14,4792,985,150087,284,684,45092,2586995
14 Haziran 2020,1562,178239,22015,15,4807,1330,151417,290,717,45176,2632171
15 Haziran 2020,1592,179831,22642,18,4825,947,152364,291,722,42032,2674203
16 Haziran 2020,1467,181298,23077,17,4842,1015,153379,303,732,46800,2721004
17 Haziran 2020,1429,182727,23226,19,4861,1261,154640,306,745,52901,2773904
18 Haziran 2020,1304,184031,23127,21,4882,1382,156022,311,755,48412,2822316
